uid,followers_count,friends_count,statuses_count,favourites_count,v,province,description,url,image,domain,gender
2614721433,787,850,323,0,0,11,0,0,1,0,0
2622649145,2870,1999,464,0,0,11,1,0,1,0,1
2761371047,0,18,0,0,0,32,0,0,1,0,1
2363595262,25313,1436,15518,0,0,11,1,1,1,1,0
2508126020,69,115,318,6,0,11,1,0,1,0,0
2752559365,0,17,0,0,0,33,0,0,1,0,1
2751452293,0,20,0,0,0,53,0,0,1,0,1
1273727401,982,303,5492,71,0,11,1,1,1,1,0
2750587654,2,6,1,0,0,13,0,0,1,0,0
1497657383,1456,1988,2110,4,1,11,1,1,1,1,1
1761388460,339,109,437,1,1,11,1,1,1,1,1
2541594551,731,1989,157,0,0,11,0,0,1,0,1
1244174785,960,273,4416,653,0,21,1,1,1,1,0
1798739561,843,304,3679,11,1,11,1,1,1,1,1
1170437745,98,245,109,0,0,11,1,0,1,0,1
2648931244,74,244,217,510,0,34,1,0,1,0,0
1503100292,1505,908,2828,4,1,11,1,1,1,1,1
1683700635,219,260,663,4,0,11,1,0,1,1,0
2607480515,558,1941,180,0,0,42,0,0,1,0,0
2821974274,10,260,1,0,0,62,0,0,1,0,0
2693166524,1929,1735,41,0,0,31,0,0,1,0,0
2771841131,24,516,1,0,0,37,1,0,1,0,1
1999250817,240,363,566,5,0,11,1,0,1,1,1
2706010263,1095,1696,261,0,0,81,1,0,1,0,1
1603350691,436,688,576,108,0,11,1,0,1,1,0
1910968275,402,463,197,6,0,11,0,0,1,0,1
2735509701,14,129,3,0,0,44,0,0,1,0,0
2815502470,159,1390,28,0,0,44,0,0,1,0,0
2209019664,1019,1467,1641,0,0,44,1,1,1,0,0
2677018911,779,894,1613,0,0,11,1,1,1,1,1
2137852972,28,26,147,1,0,11,0,0,1,1,1
2083935724,83,896,32,1,0,31,0,0,1,0,1
2816038140,9,66,52,1,0,11,1,0,1,1,1
2395608850,115,337,168,0,0,33,1,1,1,0,1
2737984725,0,49,1,0,0,11,0,0,1,0,1
2805868652,292,751,2,0,0,46,0,0,1,0,1
1192890667,8,8,4,0,0,11,0,0,1,0,0
2774815507,17,229,1,0,0,13,1,0,1,0,0
2170652625,35,52,63,0,0,50,0,0,1,1,1
1681833310,141,324,1008,50,0,11,0,0,1,1,1
1488484151,17622,1784,1778,13,1,11,1,1,1,1,1
2685104163,30,32,1866,0,0,11,1,1,1,1,0
2587998071,20,158,115,1,0,11,1,0,1,0,0
2663052393,3761,2000,377,0,0,35,1,1,1,0,0
1093417637,205,199,1168,49,0,11,0,0,1,1,0
2101511074,169,1947,20,0,0,33,0,0,1,0,0
2745820824,44,61,59,2,0,44,1,0,1,0,1
2550098754,319,1038,307,0,0,44,1,1,1,0,1
2419127032,957,1096,31,4,0,44,0,0,1,0,1
2157131757,199,109,143,10,0,11,1,1,1,1,1
1925033535,8228,1234,1391,349,0,11,1,0,1,1,1
2719656821,269,953,1670,0,0,100,0,0,1,0,1
1577820141,1061,743,703,0,1,11,1,1,1,1,1
2735037435,45,166,47,3,0,12,1,1,1,1,0
2639430331,3193,1017,572,0,0,81,1,0,1,1,0
2719548071,212,472,94,2,0,23,1,0,1,0,1
1968585237,175,612,66,0,1,44,1,0,1,0,1
1998271175,293,198,971,89,0,11,0,0,1,0,0
1664873921,1306,1593,8059,122,0,32,1,1,1,0,1
2573791850,779,426,502,1,1,11,1,0,1,0,1
2693407223,8,22,53,0,0,32,0,0,1,0,1
2706653403,3,50,1,0,0,44,0,0,1,0,0
2696272743,1,79,6,3,0,44,0,0,1,0,0
2695524983,42,159,21,0,0,46,1,0,1,0,1
2678935273,1,67,2,0,0,13,0,0,1,0,1
2647876553,557,1893,270,2,0,35,1,1,1,0,1
2638701771,25,18,103,0,0,11,0,0,1,0,0
2294798543,303,914,15,0,0,21,0,0,1,0,1
1686976960,18,307,26,11,0,100,0,0,1,0,1
2617432195,1,59,0,0,0,61,0,0,1,0,1
2609798247,617,631,146,0,0,11,1,0,1,0,1
2330178950,261,446,487,0,0,33,1,1,1,0,0
2577578123,0,17,0,0,0,13,0,0,1,0,1
1802003830,161,315,5,0,0,51,0,0,1,0,1
2457029267,121,188,550,0,0,11,1,1,1,0,1
2190747210,32,83,11,0,0,33,1,0,1,0,1
1749087300,109,169,1064,160,0,11,1,0,1,0,1
2505627852,157,933,38,0,0,11,0,0,1,0,0
1974199681,116,208,827,110,0,11,0,0,1,0,0
2374492444,186,1006,457,0,0,44,0,0,1,1,0
2545565694,9,25,0,0,0,11,0,0,1,0,1
2119599714,96,110,778,2,0,11,0,0,1,0,0
2504910284,102,813,29,0,0,41,0,0,1,0,1
1447042340,771,366,5774,53,0,11,1,0,1,1,1
2398553363,447,1956,33,0,0,11,0,0,1,0,1
2456717302,215,265,32,0,0,35,1,0,1,1,1
1245983783,225,480,211,7,0,33,1,1,1,1,1
2268420034,125,789,12,0,0,11,1,0,1,0,0
2085805855,225,300,1314,87,0,11,1,0,1,1,0
1406631727,920,1962,1193,0,0,33,1,1,1,1,1
1646862417,648,575,3466,79,0,400,1,1,1,1,0
1840935887,485,355,2904,3,0,11,1,0,1,1,0
2308543502,95,956,106,0,0,50,0,0,1,0,0
1354231072,1834,569,289,4,0,35,1,1,1,1,1
1724266843,669,586,1409,4,0,46,1,0,1,0,1
1735894417,315,223,2422,3,0,44,1,0,1,1,0
2189139091,504,1432,0,0,0,12,1,1,1,0,0
2241589035,124,160,0,0,0,11,0,0,1,0,1
1743579123,704,402,6032,325,0,11,1,0,1,1,0
1900658994,536,1759,238,0,0,44,1,1,1,0,0
2177652285,621,1223,86,8,0,100,1,0,1,0,1
2163357333,2528,1981,219,1,1,37,0,1,1,1,1
2166251100,149,1891,0,0,0,31,0,0,1,0,0
1991968645,4717,1991,2291,0,0,44,1,1,1,1,1
1397841500,416,1975,440,1,0,31,0,1,1,1,1
2025627171,1148,1817,528,0,0,41,1,1,1,0,0
1402673501,343,319,1773,17,0,11,1,1,1,1,1
1066582053,642,124,3308,598,0,11,1,1,1,1,0
2011100335,53,184,42,0,0,51,0,0,1,0,1
1440620044,1110,1852,683,0,1,51,0,1,1,1,1
1666463435,313,1082,15,0,0,11,0,0,1,0,0
2146641374,390,1599,630,178,0,11,0,0,1,0,1
2041846913,827,1139,1229,0,1,31,1,1,1,1,0
1959704892,1980,1930,961,13,0,11,1,0,1,1,0
2126445757,27,36,64,0,0,11,0,0,1,0,0
2001956762,208,1852,0,0,0,82,0,0,1,0,1
1801336671,67,118,67,0,0,11,1,0,1,1,1
1449524534,210,736,20,1,0,11,1,1,1,1,1
2097775661,521,980,130,0,0,44,1,0,1,0,1
1918430597,1596,728,887,42,0,33,1,1,1,1,0
1662238122,476,1955,0,0,0,33,1,1,1,0,1
2099100740,109,245,0,0,0,32,0,0,1,0,1
1144355564,614,1243,116,0,0,11,0,0,1,0,0
1843395954,89,41,114,5,0,44,1,0,1,0,1
2045247170,382,1136,0,0,0,35,1,0,1,0,1
2093307862,781,1080,1185,0,0,64,1,0,1,0,0
2096989904,894,1642,80,1,0,33,1,0,1,1,1
1859852702,150,107,222,34,0,400,0,0,1,1,0
2076184107,532,1145,0,0,0,33,1,0,1,0,1
1911525500,485,294,452,20,0,44,1,0,1,0,1
1818391803,88,453,32,0,0,11,1,1,1,0,0
2101418870,24,103,1,0,0,31,0,0,1,0,1
2075557903,583,1989,804,535,0,46,0,0,1,0,1
1977132027,3483,1949,9490,103,0,51,1,1,1,1,1
1928876550,31,286,13,1,0,42,1,1,1,0,1
1692725254,579,555,2325,642,0,11,1,0,1,1,0
2056279143,4,5,1,0,0,65,0,0,1,0,1
1962885954,146,606,113,31,0,11,1,0,1,0,1
2090553402,933,1945,108,0,0,61,0,0,1,0,0
1823891940,7467,1992,66352,977,0,400,1,1,1,1,0
1926597862,239,936,215,0,0,12,1,0,1,0,0
2035035134,383,1223,0,0,0,42,0,0,1,0,0
1645021302,2625,702,1431,84,0,31,1,1,1,1,1
1692952260,410,257,2302,3,0,400,1,0,1,1,1
2068571481,83,14,29,0,0,23,0,0,1,0,1
1734013514,730,199,1279,463,0,100,1,1,1,1,1
1778267577,39,68,3,0,0,11,0,0,1,0,1
1934942357,455,554,51,0,0,31,1,1,1,0,0
1752895880,1028,1801,469,4,0,44,0,0,1,0,0
1662516050,1437,898,3574,91,0,35,1,1,1,1,1
1834709523,915,283,3709,961,0,14,1,0,1,0,1
2016997547,541,234,545,5,0,34,0,0,1,1,1
2049317191,32,473,35,0,0,11,0,0,1,0,1
2040293877,281,1806,326,0,0,31,0,0,1,0,0
1909078041,111,155,200,26,0,11,0,0,1,1,1
1838162061,137,107,299,3,0,11,1,0,1,0,1
1830668907,434,1844,77,0,0,11,0,0,1,0,1
1862574920,62,183,84,0,0,400,0,0,1,0,1
1853708011,91,162,531,8,0,44,1,0,1,0,1
2007028053,122,237,588,473,0,35,1,0,1,0,1
1840775154,723,432,2151,626,0,44,1,0,1,0,1
1392676754,2684,609,1174,70,1,44,1,0,1,1,0
2041294855,754,1926,55,4,0,31,1,0,1,0,1
1874122724,220,186,254,1,0,11,1,0,1,1,1
1719396047,45,90,222,0,0,11,0,0,1,0,1
1721726770,4308,1413,3973,11,0,11,1,0,1,1,1
1097905190,117,130,764,9,0,11,0,0,1,0,0
1829368964,850,409,3236,4,0,11,1,0,1,1,1
1421745043,325,636,1716,167,0,11,1,0,1,0,1
1821365397,394,262,1690,346,0,11,1,0,1,1,0
1798716222,171,96,167,2,0,11,1,0,1,1,1
